Identifiant livraison;Adresse du programme;Code postal;Ville;Année du financement - agrément;Bailleur social;Nombre total de logements financés;Dont nombre de logements PLA I;Dont nombre de logements PLUS;Dont nombre de logements PLUS CD;Dont nombre de logements PLS;Mode de réalisation;Commentaires;Arrondissement;Nature de programme;COORD_X_L93;COORD_Y_L93;geo_shape;geo_point_2d
137;9 AV PIERRE 1ER DE SERBIE;75016;Paris;2002;PARIS HAB;17;5;12;0;0;acquisition réhabilitation;;16;logement familial;648308.7242;6863074.044;"{""type"": ""Point"", ""coordinates"": [2.295375820316023, 48.86562122462496]}";48.8656212246,2.29537582032
138;11, BD SOULT;75012;Paris;2002;DOMAXIS;24;24;0;0;0;acquisition réhabilitation;;12;logement familial;656483.5599;6859743.298;"{""type"": ""Point"", ""coordinates"": [2.407146527211637, 48.83627198576648]}";48.8362719858,2.40714652721
140;29  RUE DE LA GOUTTE D'OR 30 RUE DE CHARTRES;75018;Paris;2002;PARIS HAB;6;0;6;0;0;construction neuve;;18;logement familial;652572.3784;6865187.316;"{""type"": ""Point"", ""coordinates"": [2.353256720607009, 48.88495340638889]}";48.8849534064,2.35325672061
708;40 RUE D'ULM;75005;Paris;2006;IMM 3F;17;3;6;0;8;acquisition conventionnement;;5;logement familial;651876.0629;6860499.242;"{""type"": ""Point"", ""coordinates"": [2.344292752170626, 48.84274264284014]}";48.8427426428,2.34429275217
716;8 CITE DEBERGUE;75012;Paris;2006;FREHA;1;1;0;0;0;acquisition réhabilitation;;12;logement familial;656299.8136;6860821.98;"{""type"": ""Point"", ""coordinates"": [2.404532503969706, 48.845960224517505]}";48.8459602245,2.40453250397
742;34, RUE DE PARADIS;75010;Paris;2006;SABLIERE;11;4;7;0;0;acquisition conventionnement;;10;logement familial;652418.3208;6864116.063;"{""type"": ""Point"", ""coordinates"": [2.351276031136514, 48.875308568643455]}";48.8753085686,2.35127603114
761;31, RUE DE LA COUR DES NOUES;75020;Paris;2006;RIVP;15;0;15;0;0;construction neuve;;20;logement familial;656087.4952;6862865.603;"{""type"": ""Point"", ""coordinates"": [2.401428433887369, 48.86432401540509]}";48.8643240154,2.40142843389
766;6-8 PASSAGE DE LA BRIE;75019;Paris;2006;SIEMP;9;0;9;0;0;construction neuve;;19;logement familial;653962.3267;6864727.284;"{""type"": ""Point"", ""coordinates"": [2.372259707764816, 48.880917350315414]}";48.8809173503,2.37225970776
582;87 RUE DE MAUBEUGE;75010;Paris;2005;SAGECO;9;9;0;0;0;acquisition réhabilitation;;10;logement familial;652533.691;6864735.194;"{""type"": ""Point"", ""coordinates"": [2.352779719666107, 48.880884761412105]}";48.8808847614,2.35277971967
583;126 RUE DE CHARONNE;75011;Paris;2005;FREHA;4;4;0;0;0;acquisition réhabilitation;;11;logement familial;655016.1247;6861838.865;"{""type"": ""Point"", ""coordinates"": [2.386933816320181, 48.85501672169305]}";48.8550167217,2.38693381632
615;214, BD DE LA VILLETTE;75019;Paris;2006;SEMIDEP;5;0;0;0;5;construction neuve;;19;logement familial;653650.7136;6865112.088;"{""type"": ""Point"", ""coordinates"": [2.3679689348769832, 48.88435542743671]}";48.8843554274,2.36796893488
634;38, BD HENRI IV;75004;Paris;2006;SEM CENTRE;15;5;10;0;0;construction neuve;;4;logement familial;653503.3335;6861533.827;"{""type"": ""Point"", ""coordinates"": [2.366350856320977, 48.85216612857007]}";48.8521661286,2.36635085632
645;3-7 6-12 RUE AUGUSTIN THIERRY 4-8 RUE LOUISE THULIEZ;75019;Paris;2006;SABLIERE;187;0;0;0;187;acquisition conventionnement;;19;logement familial;655587.9406;6864160.251;"{""type"": ""Point"", ""coordinates"": [2.394483943723928, 48.875932322123]}";48.8759323221,2.39448394372
653;36, RUE SAINT FARGEAU;75020;Paris;2006;SIEMP;2;2;0;0;0;acquisition réhabilitation;;20;logement familial;656254.6853;6863674.524;"{""type"": ""Point"", ""coordinates"": [2.403624039120211, 48.871609904832546]}";48.8716099048,2.40362403912
660;2 PASSAGE LOUIS PHILIPPE;75011;Paris;2006;SIEMP;2;0;2;0;0;construction neuve;"opération abandonnée; réagréée";11;logement familial;653981.8768;6861720.786;"{""type"": ""Point"", ""coordinates"": [2.372851856812242, 48.85388179971957]}";48.8538817997,2.37285185681
664;270, AVENUE DAUMESNIL;75012;Paris;2006;PARIS HAB;20;0;10;0;10;construction neuve;;12;logement familial;656325.4912;6859702.193;"{""type"": ""Point"", ""coordinates"": [2.404997352978308, 48.83589163110113]}";48.8358916311,2.40499735298
674;2-2 BIS, RUE EDMOND FLAMAND - 20, BD VINCENT AURIOL;75013;Paris;2006;FREHA;27;27;0;0;0;construction neuve;;13;logement familial;653879.2966;6859840.494;"{""type"": ""Point"", ""coordinates"": [2.371657830820693, 48.836964971292566]}";48.8369649713,2.37165783082
374;1 A 3, CITE AUBRY;75020;Paris;2004;SAGI;13;0;13;0;0;construction neuve;;20;logement familial;655640.6977;6862073.403;"{""type"": ""Point"", ""coordinates"": [2.395421049193433, 48.85716921679292]}";48.8571692168,2.39542104919
873;62, RUE NICOLO;75016;Paris;2007;PARIS HAB;31;6;20;0;5;construction neuve;"opération abandonnée; réagréée";16;logement familial;646905.6694;6862566.694;"{""type"": ""Point"", ""coordinates"": [2.27631466538912, 48.86094461655152]}";48.8609446166,2.27631466539
906;69 RUE DE CLERY;75002;Paris;2007;FREHA;10;10;0;0;0;acquisition réhabilitation;;2;maison relais;652297.8347;6863425.472;"{""type"": ""Point"", ""coordinates"": [2.349710948030785, 48.86908932443646]}";48.8690893244,2.34971094803
1108;49, RUE DE GERGOVIE 105, RUE RAYMOND LOSSERAND;75014;Paris;2008;SIEMP;12;0;12;0;0;acquisition réhabilitation;;14;logement familial;649829.8963;6859437.528;"{""type"": ""Point"", ""coordinates"": [2.316539515265756, 48.83303856752491]}";48.8330385675,2.31653951527
1116;116, RUE DE PATAY;75013;Paris;2008;SNL-PROLOG;1;1;0;0;0;acquisition réhabilitation;;13;logement familial;653759.7901;6858908.586;"{""type"": ""Point"", ""coordinates"": [2.370131032545104, 48.828575651992196]}";48.828575652,2.37013103255
1166;11 RUE PIERRE LESCOT;75001;Paris;2008;ELOGIE;6;0;6;0;0;acquisition conventionnement;;1;logement familial;652198.9499;6862719.211;"{""type"": ""Point"", ""coordinates"": [2.348442427372059, 48.86273071009653]}";48.8627307101,2.34844242737
1169;27 BD SEBASTOPOL;75001;Paris;2008;ELOGIE;18;0;18;0;0;acquisition conventionnement;;1;logement familial;652236.2332;6862452.015;"{""type"": ""Point"", ""coordinates"": [2.348980625307352, 48.8603306185409]}";48.8603306185,2.34898062531
1176;3 RUE DES LAVANDIERES SAINTE OPPORTUNE;75001;Paris;2008;ELOGIE;5;0;5;0;0;acquisition conventionnement;;1;logement familial;651994.0042;6862219.05;"{""type"": ""Point"", ""coordinates"": [2.345705509145224, 48.85821758696558]}";48.858217587,2.34570550915
1178;1-3 RUE LEOPOLD BELLAN;75002;Paris;2008;ELOGIE;12;0;12;0;0;acquisition conventionnement;;2;logement familial;652078.5662;6863124.257;"{""type"": ""Point"", ""coordinates"": [2.346755925091999, 48.86636427825495]}";48.8663642783,2.34675592509
1184;6 RUE DU PARC ROYAL;75003;Paris;2008;ELOGIE;11;0;11;0;0;acquisition conventionnement;;3;logement familial;653306.7283;6862236.174;"{""type"": ""Point"", ""coordinates"": [2.363594527308448, 48.858468065720274]}";48.8584680657,2.36359452731
